name,tier,grouping,disambiguation,category,baseItem,baseInfluences,dimensions,retired,owned,altOwned,relic,updated,poedbUrl,poewikilink,foundBy,foundDateUTC,score,doubleCorrupted,enchanted,quality,grading,location,doubleInfluenced,sixLinked,whiteSocketCount
"Abberath's Hooves",1,T1,,Boots,"Goathide Boots",,2x2,,0,,,,https://poedb.tw/us/Abberaths_Hooves,https://www.poewiki.net/wiki/Abberath%27s_Hooves,,,,,,,,N/A,,,
"Abberath's Horn",5,T5,,Wand,"Goat's Horn",,1x3,,0,,,,https://poedb.tw/us/Abberaths_Horn,https://www.poewiki.net/wiki/Abberath%27s_Horn,,,,,,,,N/A,,,
"Abhorrent Interrogation",,League,,Gloves,"Ambush Mitts",,2x2,,0,,,,https://poedb.tw/us/Abhorrent_Interrogation,https://www.poewiki.net/wiki/Abhorrent_Interrogation,,,,,,,,N/A,,,
Abyssus,3,T3,,Helmet,"Ezomyte Burgonet",,2x2,,0,,,,https://poedb.tw/us/Abyssus,https://www.poewiki.net/wiki/Abyssus,,,,,,,,N/A,,,
"Acton's Nightmare",5,T5,,Map,"Overgrown Shrine Map",,1x1,,0,,,,https://poedb.tw/us/Actons_Nightmare,https://www.poewiki.net/wiki/Acton%27s_Nightmare,,,,,,,,N/A,,,
Actum,,League,,Axe,"Butcher Axe",,2x3,,0,,,,https://poedb.tw/us/Actum,https://www.poewiki.net/wiki/Actum,,,,,,,,N/A,,,
"Advancing Fortress",5,T5,,Claw,"Gut Ripper",,2x2,,0,,,,https://poedb.tw/us/Advancing_Fortress,https://www.poewiki.net/wiki/Advancing_Fortress,,,,,,,,N/A,,,
"Aegis Aurora",2,T2,,Shield,"Champion Kite Shield",,2x3,,0,,,,https://poedb.tw/us/Aegis_Aurora,https://www.poewiki.net/wiki/Aegis_Aurora,,,,,,,,N/A,,,
"Agnerod East",4,T4,,Staff,"Imperial Staff",,2x4,,0,,,,https://poedb.tw/us/Agnerod_East,https://www.poewiki.net/wiki/Agnerod_East,,,,,,,,N/A,,,
"Agnerod North",4,T4,,Staff,"Imperial Staff",,2x4,,0,,,,https://poedb.tw/us/Agnerod_North,https://www.poewiki.net/wiki/Agnerod_North,,,,,,,,N/A,,,
"Agnerod South",4,T4,,Staff,"Imperial Staff",,2x4,,0,,,,https://poedb.tw/us/Agnerod_South,https://www.poewiki.net/wiki/Agnerod_South,,,,,,,,N/A,,,
"Agnerod West",4,T4,,Staff,"Imperial Staff",,2x4,,0,,,,https://poedb.tw/us/Agnerod_West,https://www.poewiki.net/wiki/Agnerod_West,,,,,,,,N/A,,,
"Ahkeli's Meadow",,League,,Ring,"Ruby Ring",,1x1,,0,,,,https://poedb.tw/us/Ahkelis_Meadow,https://www.poewiki.net/wiki/Ahkeli%27s_Meadow,,,,,,,,N/A,,,
