name,tier,miniLvl,grouping,disambiguation,category,baseItem,baseInfluences,dimensions,retired,owned,altOwned,relic,updated,poedbUrl,poewikilink,foundBy,foundDateUTC,score,doubleCorrupted,enchanted,quality,grading,location,doubleInfluenced,sixLinked,whiteSocketCount
"Abberath's Hooves",1,12,T1,,Boots,"Goathide Boots",,2x2,,1,,,,https://poedb.tw/us/Abberaths_Hooves,https://www.poewiki.net/wiki/Abberath%27s_Hooves,,,,,,,N/A,N/A,,,
"Abberath's Horn",5,6,T5,,Wand,"Goat's Horn",,1x3,,1,,,,https://poedb.tw/us/Abberaths_Horn,https://www.poewiki.net/wiki/Abberath%27s_Horn,,,,,,,N/A,N/A,,,
"Abhorrent Interrogation",2,45,League,,Gloves,"Ambush Mitts",,2x2,,1,,,,https://poedb.tw/us/Abhorrent_Interrogation,https://www.poewiki.net/wiki/Abhorrent_Interrogation,,,,,,,N/A,N/A,,,
Abyssus,3,60,T3,,Helmet,"Ezomyte Burgonet",,2x2,,1,,,,https://poedb.tw/us/Abyssus,https://www.poewiki.net/wiki/Abyssus,,,,,,,N/A,N/A,,,
"Acton's Nightmare",5,69,T5,,Map,"Overgrown Shrine Map",,1x1,,1,,,,https://poedb.tw/us/Actons_Nightmare,https://www.poewiki.net/wiki/Acton%27s_Nightmare,,,,,,,N/A,N/A,,,
Actum,4,63,League,,Axe,"Butcher Axe",,2x3,,1,,,,https://poedb.tw/us/Actum,https://www.poewiki.net/wiki/Actum,,,,,,,N/A,N/A,,,
"Advancing Fortress",5,46,T5,,Claw,"Gut Ripper",,2x2,,1,,,,https://poedb.tw/us/Advancing_Fortress,https://www.poewiki.net/wiki/Advancing_Fortress,,,,,,,N/A,N/A,,,
"Aegis Aurora",2,73,T2,,Shield,"Champion Kite Shield",,2x3,,1,,,,https://poedb.tw/us/Aegis_Aurora,https://www.poewiki.net/wiki/Aegis_Aurora,,,,,,,N/A,N/A,,,
"Agnerod East",4,66,T4,,Staff,"Imperial Staff",,2x4,,1,,,,https://poedb.tw/us/Agnerod_East,https://www.poewiki.net/wiki/Agnerod_East,,,,,,,N/A,N/A,,,
"Agnerod North",4,66,T4,,Staff,"Imperial Staff",,2x4,,1,,,,https://poedb.tw/us/Agnerod_North,https://www.poewiki.net/wiki/Agnerod_North,,,,,,,N/A,N/A,,,
"Agnerod South",4,66,T4,,Staff,"Imperial Staff",,2x4,,1,,,,https://poedb.tw/us/Agnerod_South,https://www.poewiki.net/wiki/Agnerod_South,,,,,,,N/A,N/A,,,
"Agnerod West",4,66,T4,,Staff,"Imperial Staff",,2x4,,1,,,,https://poedb.tw/us/Agnerod_West,https://www.poewiki.net/wiki/Agnerod_West,,,,,,,N/A,N/A,,,
"Ahkeli's Meadow",2,16,League,,Ring,"Ruby Ring",,1x1,,1,,,,https://poedb.tw/us/Ahkelis_Meadow,https://www.poewiki.net/wiki/Ahkeli%27s_Meadow,,,,,,,N/A,N/A,,,
"Ahkeli's Mountain",4,16,League,,Ring,"Ruby Ring",,1x1,,1,,,,https://poedb.tw/us/Ahkelis_Mountain,https://www.poewiki.net/wiki/Ahkeli%27s_Mountain,,,,,,,N/A,N/A,,,
"Ahkeli's Valley",3,16,League,,Ring,"Ruby Ring",,1x1,,1,,,,https://poedb.tw/us/Ahkelis_Valley,https://www.poewiki.net/wiki/Ahkeli%27s_Valley,,,,,,,N/A,N/A,,,
"Ahn's Contempt",4,68,T4,,Helmet,"Praetor Crown",,2x2,,1,,,,https://poedb.tw/us/Ahns_Contempt,https://www.poewiki.net/wiki/Ahn%27s_Contempt,,,,,,,N/A,N/A,,,
"Ahn's Heritage",4,67,T4,,Shield,"Colossal Tower Shield",,2x4,,1,,,,https://poedb.tw/us/Ahns_Heritage,https://www.poewiki.net/wiki/Ahn%27s_Heritage,,,,,,,N/A,N/A,,,
"Ahn's Might",4,68,T4,,Sword,"Midnight Blade",,2x3,,1,,,,https://poedb.tw/us/Ahns_Might,https://www.poewiki.net/wiki/Ahn%27s_Might,,,,,,,N/A,N/A,,,
"Ahuana's Bite",4,56,T4,,Quiver,"Sharktooth Arrow Quiver",,2x3,,1,,,,https://poedb.tw/us/Ahuanas_Bite,https://www.poewiki.net/wiki/Ahuana%27s_Bite,,,,,,,N/A,N/A,,,
"Akoya's Gaze",2,52,T2,,Helmet,"Regicide Mask",,2x2,,1,,,,https://poedb.tw/us/Akoyas_Gaze,https://www.poewiki.net/wiki/Akoya%27s_Gaze,,,,,,,N/A,N/A,,,
"Al Dhih",4,26,T4,,Claw,"Timeworn Claw",,2x2,,1,,,,https://poedb.tw/us/Al_Dhih,https://www.poewiki.net/wiki/Al_Dhih,,,,,,,N/A,N/A,,,
"Alberon's Warpath",4,49,T4,,Boots,"Soldier Boots",,2x2,,1,,,,https://poedb.tw/us/Alberons_Warpath,https://www.poewiki.net/wiki/Alberon%27s_Warpath,,,,,,,N/A,N/A,,,
"Algor Mortis",4,75,T4,,Gloves,"Carnal Mitts",,2x2,,1,,,,https://poedb.tw/us/Algor_Mortis,https://www.poewiki.net/wiki/Algor_Mortis,,,,,,,N/A,N/A,,,
Allelopathy,3,41,T3,,Gloves,"Satin Gloves",,2x2,,1,,,,https://poedb.tw/us/Allelopathy,https://www.poewiki.net/wiki/Allelopathy,,,,,,,N/A,N/A,,,
Allure,5,66,T5,,Claw,"Vaal Claw",,2x2,,1,,,,https://poedb.tw/us/Allure,https://www.poewiki.net/wiki/Allure,,,,,,,N/A,N/A,,,
"Alpha's Howl",3,64,T3,,Helmet,"Sinner Tricorne",,2x2,,1,,,,https://poedb.tw/us/Alphas_Howl,https://www.poewiki.net/wiki/Alpha%27s_Howl,,,,,,,N/A,N/A,,,
"Altered Distant Memory",3,81,Boss,,Map,"Synthesised Map",,1x1,,1,,,,https://poedb.tw/us/Altered_Distant_Memory,https://www.poewiki.net/wiki/Altered_Distant_Memory,,,,,,,N/A,N/A,,,
"Amanamu's Gaze",3,80,League,,Jewel,"Ghastly Eye Jewel",,1x1,,1,,,,https://poedb.tw/us/Amanamus_Gaze,https://www.poewiki.net/wiki/Amanamu%27s_Gaze,,,,,,,N/A,N/A,,,
"Ambu's Charge",4,43,T4,,"Body Armour","Crusader Chainmail",,2x3,,1,,,,https://poedb.tw/us/Ambus_Charge,https://www.poewiki.net/wiki/Ambu%27s_Charge,,,,,,,N/A,N/A,,,
Anathema,2,49,T2,,Ring,"Moonstone Ring",,1x1,,1,,,,https://poedb.tw/us/Anathema,https://www.poewiki.net/wiki/Anathema,,,,,,,N/A,N/A,,,
"Ancestral Vision",2,20,T2,,Jewel,"Viridian Jewel",,1x1,,1,,,,https://poedb.tw/us/Ancestral_Vision,https://www.poewiki.net/wiki/Ancestral_Vision,,,,,,,N/A,N/A,,,
"Ancient Skull",4,73,T4,,Helmet,"Bone Helmet",,2x2,,1,,,,https://poedb.tw/us/Ancient_Skull,https://www.poewiki.net/wiki/Ancient_Skull,,,,,,,N/A,N/A,,,
Andvarius,3,50,T3,,Ring,"Gold Ring",,1x1,,1,,,,https://poedb.tw/us/Andvarius,https://www.poewiki.net/wiki/Andvarius,,,,,,,N/A,N/A,,,
"Angler's Plait",0,45,Limited,,Ring,"Unset Ring",,1x1,,1,,,,https://poedb.tw/us/Anglers_Plait,https://www.poewiki.net/wiki/Angler%27s_Plait,,,,,,,N/A,N/A,,,
"Annihilation's Approach",1,65,Uber,,Boots,"Dragonscale Boots",,2x2,,1,,,,https://poedb.tw/us/Annihilations_Approach,https://www.poewiki.net/wiki/Annihilation%27s_Approach,,,,,,,N/A,N/A,,,
